符号：{symbol} 10进：{dec} 16进：{hex} html代码：{html}
符号：ࠬ 10进：2092 16进：082C html代码：&#2092;
符号：࠭ 10进：2093 16进：082D html代码：&#2093;
符号：࠮ 10进：2094 16进：082E html代码：&#2094;
符号：࠯ 10进：2095 16进：082F html代码：&#2095;
符号：࠰ 10进：2096 16进：0830 html代码：&#2096;
符号：࠱ 10进：2097 16进：0831 html代码：&#2097;
符号：࠲ 10进：2098 16进：0832 html代码：&#2098;
符号：࠳ 10进：2099 16进：0833 html代码：&#2099;
符号：࠴ 10进：2100 16进：0834 html代码：&#2100;
符号：࠵ 10进：2101 16进：0835 html代码：&#2101;
符号：࠶ 10进：2102 16进：0836 html代码：&#2102;
符号：࠷ 10进：2103 16进：0837 html代码：&#2103;
符号：࠸ 10进：2104 16进：0838 html代码：&#2104;
符号：࠹ 10进：2105 16进：0839 html代码：&#2105;
符号：࠺ 10进：2106 16进：083A html代码：&#2106;
符号：࠻ 10进：2107 16进：083B html代码：&#2107;
符号：࠼ 10进：2108 16进：083C html代码：&#2108;
符号：࠽ 10进：2109 16进：083D html代码：&#2109;
符号：࠾ 10进：2110 16进：083E html代码：&#2110;
符号：࠿ 10进：2111 16进：083F html代码：&#2111;
符号：ࡀ 10进：2112 16进：0840 html代码：&#2112;
符号：ࡁ 10进：2113 16进：0841 html代码：&#2113;
符号：ࡂ 10进：2114 16进：0842 html代码：&#2114;
符号：ࡃ 10进：2115 16进：0843 html代码：&#2115;
符号：ࡄ 10进：2116 16进：0844 html代码：&#2116;
符号：ࡅ 10进：2117 16进：0845 html代码：&#2117;
符号：ࡆ 10进：2118 16进：0846 html代码：&#2118;
符号：ࡇ 10进：2119 16进：0847 html代码：&#2119;
符号：ࡈ 10进：2120 16进：0848 html代码：&#2120;
符号：ࡉ 10进：2121 16进：0849 html代码：&#2121;
符号：ࡊ 10进：2122 16进：084A html代码：&#2122;
符号：ࡋ 10进：2123 16进：084B html代码：&#2123;
符号：ࡌ 10进：2124 16进：084C html代码：&#2124;
符号：ࡍ 10进：2125 16进：084D html代码：&#2125;
符号：ࡎ 10进：2126 16进：084E html代码：&#2126;
符号：ࡏ 10进：2127 16进：084F html代码：&#2127;
符号：ࡐ 10进：2128 16进：0850 html代码：&#2128;
符号：ࡑ 10进：2129 16进：0851 html代码：&#2129;
符号：ࡒ 10进：2130 16进：0852 html代码：&#2130;
符号：ࡓ 10进：2131 16进：0853 html代码：&#2131;
符号：ࡔ 10进：2132 16进：0854 html代码：&#2132;
符号：ࡕ 10进：2133 16进：0855 html代码：&#2133;
符号：ࡖ 10进：2134 16进：0856 html代码：&#2134;
符号：ࡗ 10进：2135 16进：0857 html代码：&#2135;
符号：ࡘ 10进：2136 16进：0858 html代码：&#2136;
符号：࡙ 10进：2137 16进：0859 html代码：&#2137;
符号：࡚ 10进：2138 16进：085A html代码：&#2138;
符号：࡛ 10进：2139 16进：085B html代码：&#2139;
符号：࡜ 10进：2140 16进：085C html代码：&#2140;
符号：࡝ 10进：2141 16进：085D html代码：&#2141;
符号：࡞ 10进：2142 16进：085E html代码：&#2142;
符号：࡟ 10进：2143 16进：085F html代码：&#2143;
符号：ࡠ 10进：2144 16进：0860 html代码：&#2144;
符号：ࡡ 10进：2145 16进：0861 html代码：&#2145;
符号：ࡢ 10进：2146 16进：0862 html代码：&#2146;
符号：ࡣ 10进：2147 16进：0863 html代码：&#2147;
符号：ࡤ 10进：2148 16进：0864 html代码：&#2148;
符号：ࡥ 10进：2149 16进：0865 html代码：&#2149;
符号：ࡦ 10进：2150 16进：0866 html代码：&#2150;
符号：ࡧ 10进：2151 16进：0867 html代码：&#2151;
符号：ࡨ 10进：2152 16进：0868 html代码：&#2152;
符号：ࡩ 10进：2153 16进：0869 html代码：&#2153;
符号：ࡪ 10进：2154 16进：086A html代码：&#2154;
符号：࡫ 10进：2155 16进：086B html代码：&#2155;
符号：࡬ 10进：2156 16进：086C html代码：&#2156;
符号：࡭ 10进：2157 16进：086D html代码：&#2157;
符号：࡮ 10进：2158 16进：086E html代码：&#2158;
符号：࡯ 10进：2159 16进：086F html代码：&#2159;
符号：ࡰ 10进：2160 16进：0870 html代码：&#2160;
符号：ࡱ 10进：2161 16进：0871 html代码：&#2161;
符号：ࡲ 10进：2162 16进：0872 html代码：&#2162;
符号：ࡳ 10进：2163 16进：0873 html代码：&#2163;
符号：ࡴ 10进：2164 16进：0874 html代码：&#2164;
符号：ࡵ 10进：2165 16进：0875 html代码：&#2165;
符号：ࡶ 10进：2166 16进：0876 html代码：&#2166;
符号：ࡷ 10进：2167 16进：0877 html代码：&#2167;
符号：ࡸ 10进：2168 16进：0878 html代码：&#2168;
符号：ࡹ 10进：2169 16进：0879 html代码：&#2169;
符号：ࡺ 10进：2170 16进：087A html代码：&#2170;
符号：ࡻ 10进：2171 16进：087B html代码：&#2171;
符号：ࡼ 10进：2172 16进：087C html代码：&#2172;
符号：ࡽ 10进：2173 16进：087D html代码：&#2173;
符号：ࡾ 10进：2174 16进：087E html代码：&#2174;
符号：ࡿ 10进：2175 16进：087F html代码：&#2175;
符号：ࢀ 10进：2176 16进：0880 html代码：&#2176;
符号：ࢁ 10进：2177 16进：0881 html代码：&#2177;
符号：ࢂ 10进：2178 16进：0882 html代码：&#2178;
符号：ࢃ 10进：2179 16进：0883 html代码：&#2179;
符号：ࢄ 10进：2180 16进：0884 html代码：&#2180;
符号：ࢅ 10进：2181 16进：0885 html代码：&#2181;
符号：ࢆ 10进：2182 16进：0886 html代码：&#2182;
符号：ࢇ 10进：2183 16进：0887 html代码：&#2183;
符号：࢈ 10进：2184 16进：0888 html代码：&#2184;
符号：ࢉ 10进：2185 16进：0889 html代码：&#2185;
符号：ࢊ 10进：2186 16进：088A html代码：&#2186;
符号：ࢋ 10进：2187 16进：088B html代码：&#2187;
符号：ࢌ 10进：2188 16进：088C html代码：&#2188;
符号：ࢍ 10进：2189 16进：088D html代码：&#2189;
符号：ࢎ 10进：2190 16进：088E html代码：&#2190;
符号：࢏ 10进：2191 16进：088F html代码：&#2191;
符号：࢐ 10进：2192 16进：0890 html代码：&#2192;
符号：࢑ 10进：2193 16进：0891 html代码：&#2193;
符号：࢒ 10进：2194 16进：0892 html代码：&#2194;
符号：࢓ 10进：2195 16进：0893 html代码：&#2195;
符号：࢔ 10进：2196 16进：0894 html代码：&#2196;
符号：࢕ 10进：2197 16进：0895 html代码：&#2197;
符号：࢖ 10进：2198 16进：0896 html代码：&#2198;
符号：ࢗ 10进：2199 16进：0897 html代码：&#2199;
符号：࢘ 10进：2200 16进：0898 html代码：&#2200;
符号：࢙ 10进：2201 16进：0899 html代码：&#2201;
符号：࢚ 10进：2202 16进：089A html代码：&#2202;
符号：࢛ 10进：2203 16进：089B html代码：&#2203;
符号：࢜ 10进：2204 16进：089C html代码：&#2204;
符号：࢝ 10进：2205 16进：089D html代码：&#2205;
符号：࢞ 10进：2206 16进：089E html代码：&#2206;
符号：࢟ 10进：2207 16进：089F html代码：&#2207;
符号：ࢠ 10进：2208 16进：08A0 html代码：&#2208;
符号：ࢡ 10进：2209 16进：08A1 html代码：&#2209;
符号：ࢢ 10进：2210 16进：08A2 html代码：&#2210;
符号：ࢣ 10进：2211 16进：08A3 html代码：&#2211;
符号：ࢤ 10进：2212 16进：08A4 html代码：&#2212;
符号：ࢥ 10进：2213 16进：08A5 html代码：&#2213;
符号：ࢦ 10进：2214 16进：08A6 html代码：&#2214;
符号：ࢧ 10进：2215 16进：08A7 html代码：&#2215;
符号：ࢨ 10进：2216 16进：08A8 html代码：&#2216;
符号：ࢩ 10进：2217 16进：08A9 html代码：&#2217;
符号：ࢪ 10进：2218 16进：08AA html代码：&#2218;
符号：ࢫ 10进：2219 16进：08AB html代码：&#2219;
符号：ࢬ 10进：2220 16进：08AC html代码：&#2220;
符号：ࢭ 10进：2221 16进：08AD html代码：&#2221;
符号：ࢮ 10进：2222 16进：08AE html代码：&#2222;
符号：ࢯ 10进：2223 16进：08AF html代码：&#2223;
符号：ࢰ 10进：2224 16进：08B0 html代码：&#2224;
符号：ࢱ 10进：2225 16进：08B1 html代码：&#2225;
符号：ࢲ 10进：2226 16进：08B2 html代码：&#2226;
符号：ࢳ 10进：2227 16进：08B3 html代码：&#2227;
符号：ࢴ 10进：2228 16进：08B4 html代码：&#2228;
符号：ࢵ 10进：2229 16进：08B5 html代码：&#2229;
符号：ࢶ 10进：2230 16进：08B6 html代码：&#2230;
符号：ࢷ 10进：2231 16进：08B7 html代码：&#2231;
符号：ࢸ 10进：2232 16进：08B8 html代码：&#2232;
符号：ࢹ 10进：2233 16进：08B9 html代码：&#2233;
符号：ࢺ 10进：2234 16进：08BA html代码：&#2234;
符号：ࢻ 10进：2235 16进：08BB html代码：&#2235;
符号：ࢼ 10进：2236 16进：08BC html代码：&#2236;
符号：ࢽ 10进：2237 16进：08BD html代码：&#2237;
符号：ࢾ 10进：2238 16进：08BE html代码：&#2238;
符号：ࢿ 10进：2239 16进：08BF html代码：&#2239;
符号：ࣀ 10进：2240 16进：08C0 html代码：&#2240;
符号：ࣁ 10进：2241 16进：08C1 html代码：&#2241;
符号：ࣂ 10进：2242 16进：08C2 html代码：&#2242;
符号：ࣃ 10进：2243 16进：08C3 html代码：&#2243;
符号：ࣄ 10进：2244 16进：08C4 html代码：&#2244;
符号：ࣅ 10进：2245 16进：08C5 html代码：&#2245;
符号：ࣆ 10进：2246 16进：08C6 html代码：&#2246;
符号：ࣇ 10进：2247 16进：08C7 html代码：&#2247;
符号：ࣈ 10进：2248 16进：08C8 html代码：&#2248;
符号：ࣉ 10进：2249 16进：08C9 html代码：&#2249;
符号：࣊ 10进：2250 16进：08CA html代码：&#2250;
符号：࣋ 10进：2251 16进：08CB html代码：&#2251;
符号：࣌ 10进：2252 16进：08CC html代码：&#2252;
符号：࣍ 10进：2253 16进：08CD html代码：&#2253;
符号：࣎ 10进：2254 16进：08CE html代码：&#2254;
符号：࣏ 10进：2255 16进：08CF html代码：&#2255;
符号：࣐ 10进：2256 16进：08D0 html代码：&#2256;
符号：࣑ 10进：2257 16进：08D1 html代码：&#2257;
符号：࣒ 10进：2258 16进：08D2 html代码：&#2258;
符号：࣓ 10进：2259 16进：08D3 html代码：&#2259;
符号：ࣔ 10进：2260 16进：08D4 html代码：&#2260;
符号：ࣕ 10进：2261 16进：08D5 html代码：&#2261;
符号：ࣖ 10进：2262 16进：08D6 html代码：&#2262;
符号：ࣗ 10进：2263 16进：08D7 html代码：&#2263;
符号：ࣘ 10进：2264 16进：08D8 html代码：&#2264;
符号：ࣙ 10进：2265 16进：08D9 html代码：&#2265;
符号：ࣚ 10进：2266 16进：08DA html代码：&#2266;
符号：ࣛ 10进：2267 16进：08DB html代码：&#2267;
符号：ࣜ 10进：2268 16进：08DC html代码：&#2268;
符号：ࣝ 10进：2269 16进：08DD html代码：&#2269;
符号：ࣞ 10进：2270 16进：08DE html代码：&#2270;
符号：ࣟ 10进：2271 16进：08DF html代码：&#2271;
符号：࣠ 10进：2272 16进：08E0 html代码：&#2272;
符号：࣡ 10进：2273 16进：08E1 html代码：&#2273;
符号：࣢ 10进：2274 16进：08E2 html代码：&#2274;
符号：ࣣ 10进：2275 16进：08E3 html代码：&#2275;
符号：ࣤ 10进：2276 16进：08E4 html代码：&#2276;
符号：ࣥ 10进：2277 16进：08E5 html代码：&#2277;
符号：ࣦ 10进：2278 16进：08E6 html代码：&#2278;
符号：ࣧ 10进：2279 16进：08E7 html代码：&#2279;
符号：ࣨ 10进：2280 16进：08E8 html代码：&#2280;
符号：ࣩ 10进：2281 16进：08E9 html代码：&#2281;
符号：࣪ 10进：2282 16进：08EA html代码：&#2282;
符号：࣫ 10进：2283 16进：08EB html代码：&#2283;
符号：࣬ 10进：2284 16进：08EC html代码：&#2284;
符号：࣭ 10进：2285 16进：08ED html代码：&#2285;
符号：࣮ 10进：2286 16进：08EE html代码：&#2286;
符号：࣯ 10进：2287 16进：08EF html代码：&#2287;
符号：ࣰ 10进：2288 16进：08F0 html代码：&#2288;
符号：ࣱ 10进：2289 16进：08F1 html代码：&#2289;
符号：ࣲ 10进：2290 16进：08F2 html代码：&#2290;
符号：ࣳ 10进：2291 16进：08F3 html代码：&#2291;
符号：ࣴ 10进：2292 16进：08F4 html代码：&#2292;
符号：ࣵ 10进：2293 16进：08F5 html代码：&#2293;
符号：ࣶ 10进：2294 16进：08F6 html代码：&#2294;
符号：ࣷ 10进：2295 16进：08F7 html代码：&#2295;
符号：ࣸ 10进：2296 16进：08F8 html代码：&#2296;
符号：ࣹ 10进：2297 16进：08F9 html代码：&#2297;
符号：ࣺ 10进：2298 16进：08FA html代码：&#2298;
符号：ࣻ 10进：2299 16进：08FB html代码：&#2299;
符号：ࣼ 10进：2300 16进：08FC html代码：&#2300;
符号：ࣽ 10进：2301 16进：08FD html代码：&#2301;
符号：ࣾ 10进：2302 16进：08FE html代码：&#2302;
符号：ࣿ 10进：2303 16进：08FF html代码：&#2303;
符号：ऀ 10进：2304 16进：0900 html代码：&#2304;
符号：ँ 10进：2305 16进：0901 html代码：&#2305;
符号：ं 10进：2306 16进：0902 html代码：&#2306;
符号：ः 10进：2307 16进：0903 html代码：&#2307;
符号：ऄ 10进：2308 16进：0904 html代码：&#2308;
符号：अ 10进：2309 16进：0905 html代码：&#2309;
符号：आ 10进：2310 16进：0906 html代码：&#2310;
符号：इ 10进：2311 16进：0907 html代码：&#2311;
符号：ई 10进：2312 16进：0908 html代码：&#2312;
符号：उ 10进：2313 16进：0909 html代码：&#2313;
符号：ऊ 10进：2314 16进：090A html代码：&#2314;
符号：ऋ 10进：2315 16进：090B html代码：&#2315;
符号：ऌ 10进：2316 16进：090C html代码：&#2316;
符号：ऍ 10进：2317 16进：090D html代码：&#2317;
符号：ऎ 10进：2318 16进：090E html代码：&#2318;
符号：ए 10进：2319 16进：090F html代码：&#2319;
符号：ऐ 10进：2320 16进：0910 html代码：&#2320;
符号：ऑ 10进：2321 16进：0911 html代码：&#2321;
符号：ऒ 10进：2322 16进：0912 html代码：&#2322;
符号：ओ 10进：2323 16进：0913 html代码：&#2323;
符号：औ 10进：2324 16进：0914 html代码：&#2324;
符号：क 10进：2325 16进：0915 html代码：&#2325;
符号：ख 10进：2326 16进：0916 html代码：&#2326;
符号：ग 10进：2327 16进：0917 html代码：&#2327;
符号：घ 10进：2328 16进：0918 html代码：&#2328;
符号：ङ 10进：2329 16进：0919 html代码：&#2329;
符号：च 10进：2330 16进：091A html代码：&#2330;
符号：छ 10进：2331 16进：091B html代码：&#2331;
符号：ज 10进：2332 16进：091C html代码：&#2332;
符号：झ 10进：2333 16进：091D html代码：&#2333;
符号：ञ 10进：2334 16进：091E html代码：&#2334;
符号：ट 10进：2335 16进：091F html代码：&#2335;
符号：ठ 10进：2336 16进：0920 html代码：&#2336;
符号：ड 10进：2337 16进：0921 html代码：&#2337;
符号：ढ 10进：2338 16进：0922 html代码：&#2338;
符号：ण 10进：2339 16进：0923 html代码：&#2339;
符号：त 10进：2340 16进：0924 html代码：&#2340;
符号：थ 10进：2341 16进：0925 html代码：&#2341;
符号：द 10进：2342 16进：0926 html代码：&#2342;
符号：ध 10进：2343 16进：0927 html代码：&#2343;
符号：न 10进：2344 16进：0928 html代码：&#2344;
符号：ऩ 10进：2345 16进：0929 html代码：&#2345;
符号：प 10进：2346 16进：092A html代码：&#2346;
符号：फ 10进：2347 16进：092B html代码：&#2347;
符号：ब 10进：2348 16进：092C html代码：&#2348;
符号：भ 10进：2349 16进：092D html代码：&#2349;
符号：म 10进：2350 16进：092E html代码：&#2350;
符号：य 10进：2351 16进：092F html代码：&#2351;
符号：र 10进：2352 16进：0930 html代码：&#2352;
符号：ऱ 10进：2353 16进：0931 html代码：&#2353;
符号：ल 10进：2354 16进：0932 html代码：&#2354;
符号：ळ 10进：2355 16进：0933 html代码：&#2355;
符号：ऴ 10进：2356 16进：0934 html代码：&#2356;
符号：व 10进：2357 16进：0935 html代码：&#2357;
符号：श 10进：2358 16进：0936 html代码：&#2358;
符号：ष 10进：2359 16进：0937 html代码：&#2359;
符号：स 10进：2360 16进：0938 html代码：&#2360;
符号：ह 10进：2361 16进：0939 html代码：&#2361;
符号：ऺ 10进：2362 16进：093A html代码：&#2362;
符号：ऻ 10进：2363 16进：093B html代码：&#2363;
符号：़ 10进：2364 16进：093C html代码：&#2364;
符号：ऽ 10进：2365 16进：093D html代码：&#2365;
符号：ा 10进：2366 16进：093E html代码：&#2366;
符号：ि 10进：2367 16进：093F html代码：&#2367;
符号：ी 10进：2368 16进：0940 html代码：&#2368;
符号：ु 10进：2369 16进：0941 html代码：&#2369;
符号：ू 10进：2370 16进：0942 html代码：&#2370;
符号：ृ 10进：2371 16进：0943 html代码：&#2371;
符号：ॄ 10进：2372 16进：0944 html代码：&#2372;
符号：ॅ 10进：2373 16进：0945 html代码：&#2373;
符号：ॆ 10进：2374 16进：0946 html代码：&#2374;
符号：े 10进：2375 16进：0947 html代码：&#2375;
符号：ै 10进：2376 16进：0948 html代码：&#2376;
符号：ॉ 10进：2377 16进：0949 html代码：&#2377;
符号：ॊ 10进：2378 16进：094A html代码：&#2378;
符号：ो 10进：2379 16进：094B html代码：&#2379;
符号：ौ 10进：2380 16进：094C html代码：&#2380;
符号：् 10进：2381 16进：094D html代码：&#2381;
符号：ॎ 10进：2382 16进：094E html代码：&#2382;
符号：ॏ 10进：2383 16进：094F html代码：&#2383;
符号：ॐ 10进：2384 16进：0950 html代码：&#2384;
符号：॑ 10进：2385 16进：0951 html代码：&#2385;
符号：॒ 10进：2386 16进：0952 html代码：&#2386;
符号：॓ 10进：2387 16进：0953 html代码：&#2387;
符号：॔ 10进：2388 16进：0954 html代码：&#2388;
符号：ॕ 10进：2389 16进：0955 html代码：&#2389;
符号：ॖ 10进：2390 16进：0956 html代码：&#2390;
符号：ॗ 10进：2391 16进：0957 html代码：&#2391;
符号：क़ 10进：2392 16进：0958 html代码：&#2392;
符号：ख़ 10进：2393 16进：0959 html代码：&#2393;
符号：ग़ 10进：2394 16进：095A html代码：&#2394;
符号：ज़ 10进：2395 16进：095B html代码：&#2395;
符号：ड़ 10进：2396 16进：095C html代码：&#2396;
符号：ढ़ 10进：2397 16进：095D html代码：&#2397;
符号：फ़ 10进：2398 16进：095E html代码：&#2398;
符号：य़ 10进：2399 16进：095F html代码：&#2399;
符号：ॠ 10进：2400 16进：0960 html代码：&#2400;
符号：ॡ 10进：2401 16进：0961 html代码：&#2401;
符号：ॢ 10进：2402 16进：0962 html代码：&#2402;
符号：ॣ 10进：2403 16进：0963 html代码：&#2403;
符号：। 10进：2404 16进：0964 html代码：&#2404;
符号：॥ 10进：2405 16进：0965 html代码：&#2405;
符号：० 10进：2406 16进：0966 html代码：&#2406;
符号：१ 10进：2407 16进：0967 html代码：&#2407;
符号：२ 10进：2408 16进：0968 html代码：&#2408;
符号：३ 10进：2409 16进：0969 html代码：&#2409;
符号：४ 10进：2410 16进：096A html代码：&#2410;
符号：५ 10进：2411 16进：096B html代码：&#2411;
符号：६ 10进：2412 16进：096C html代码：&#2412;
符号：७ 10进：2413 16进：096D html代码：&#2413;
符号：८ 10进：2414 16进：096E html代码：&#2414;
符号：९ 10进：2415 16进：096F html代码：&#2415;
符号：॰ 10进：2416 16进：0970 html代码：&#2416;
符号：ॱ 10进：2417 16进：0971 html代码：&#2417;
符号：ॲ 10进：2418 16进：0972 html代码：&#2418;
符号：ॳ 10进：2419 16进：0973 html代码：&#2419;
符号：ॴ 10进：2420 16进：0974 html代码：&#2420;
符号：ॵ 10进：2421 16进：0975 html代码：&#2421;
符号：ॶ 10进：2422 16进：0976 html代码：&#2422;
符号：ॷ 10进：2423 16进：0977 html代码：&#2423;
符号：ॸ 10进：2424 16进：0978 html代码：&#2424;
符号：ॹ 10进：2425 16进：0979 html代码：&#2425;
符号：ॺ 10进：2426 16进：097A html代码：&#2426;
符号：ॻ 10进：2427 16进：097B html代码：&#2427;
符号：ॼ 10进：2428 16进：097C html代码：&#2428;
符号：ॽ 10进：2429 16进：097D html代码：&#2429;
符号：ॾ 10进：2430 16进：097E html代码：&#2430;
符号：ॿ 10进：2431 16进：097F html代码：&#2431;
符号：ঀ 10进：2432 16进：0980 html代码：&#2432;
符号：ঁ 10进：2433 16进：0981 html代码：&#2433;
符号：ং 10进：2434 16进：0982 html代码：&#2434;
符号：ঃ 10进：2435 16进：0983 html代码：&#2435;
符号：঄ 10进：2436 16进：0984 html代码：&#2436;
符号：অ 10进：2437 16进：0985 html代码：&#2437;
符号：আ 10进：2438 16进：0986 html代码：&#2438;
符号：ই 10进：2439 16进：0987 html代码：&#2439;
符号：ঈ 10进：2440 16进：0988 html代码：&#2440;
符号：উ 10进：2441 16进：0989 html代码：&#2441;
符号：ঊ 10进：2442 16进：098A html代码：&#2442;
符号：ঋ 10进：2443 16进：098B html代码：&#2443;
符号：ঌ 10进：2444 16进：098C html代码：&#2444;
符号：঍ 10进：2445 16进：098D html代码：&#2445;
符号：঎ 10进：2446 16进：098E html代码：&#2446;
符号：এ 10进：2447 16进：098F html代码：&#2447;
符号：ঐ 10进：2448 16进：0990 html代码：&#2448;
符号：঑ 10进：2449 16进：0991 html代码：&#2449;
符号：঒ 10进：2450 16进：0992 html代码：&#2450;
符号：ও 10进：2451 16进：0993 html代码：&#2451;
符号：ঔ 10进：2452 16进：0994 html代码：&#2452;
符号：ক 10进：2453 16进：0995 html代码：&#2453;
符号：খ 10进：2454 16进：0996 html代码：&#2454;
符号：গ 10进：2455 16进：0997 html代码：&#2455;
符号：ঘ 10进：2456 16进：0998 html代码：&#2456;
符号：ঙ 10进：2457 16进：0999 html代码：&#2457;
符号：চ 10进：2458 16进：099A html代码：&#2458;
符号：ছ 10进：2459 16进：099B html代码：&#2459;
符号：জ 10进：2460 16进：099C html代码：&#2460;
符号：ঝ 10进：2461 16进：099D html代码：&#2461;
符号：ঞ 10进：2462 16进：099E html代码：&#2462;
符号：ট 10进：2463 16进：099F html代码：&#2463;
符号：ঠ 10进：2464 16进：09A0 html代码：&#2464;
符号：ড 10进：2465 16进：09A1 html代码：&#2465;
符号：ঢ 10进：2466 16进：09A2 html代码：&#2466;
符号：ণ 10进：2467 16进：09A3 html代码：&#2467;
符号：ত 10进：2468 16进：09A4 html代码：&#2468;
符号：থ 10进：2469 16进：09A5 html代码：&#2469;
符号：দ 10进：2470 16进：09A6 html代码：&#2470;
符号：ধ 10进：2471 16进：09A7 html代码：&#2471;
符号：ন 10进：2472 16进：09A8 html代码：&#2472;
符号：঩ 10进：2473 16进：09A9 html代码：&#2473;
符号：প 10进：2474 16进：09AA html代码：&#2474;
符号：ফ 10进：2475 16进：09AB html代码：&#2475;
符号：ব 10进：2476 16进：09AC html代码：&#2476;
符号：ভ 10进：2477 16进：09AD html代码：&#2477;
符号：ম 10进：2478 16进：09AE html代码：&#2478;
符号：য 10进：2479 16进：09AF html代码：&#2479;
符号：র 10进：2480 16进：09B0 html代码：&#2480;
符号：঱ 10进：2481 16进：09B1 html代码：&#2481;
符号：ল 10进：2482 16进：09B2 html代码：&#2482;
符号：঳ 10进：2483 16进：09B3 html代码：&#2483;
符号：঴ 10进：2484 16进：09B4 html代码：&#2484;
符号：঵ 10进：2485 16进：09B5 html代码：&#2485;
符号：শ 10进：2486 16进：09B6 html代码：&#2486;
符号：ষ 10进：2487 16进：09B7 html代码：&#2487;
符号：স 10进：2488 16进：09B8 html代码：&#2488;
符号：হ 10进：2489 16进：09B9 html代码：&#2489;
符号：঺ 10进：2490 16进：09BA html代码：&#2490;
符号：঻ 10进：2491 16进：09BB html代码：&#2491;
符号：় 10进：2492 16进：09BC html代码：&#2492;
符号：ঽ 10进：2493 16进：09BD html代码：&#2493;
符号：া 10进：2494 16进：09BE html代码：&#2494;
符号：ি 10进：2495 16进：09BF html代码：&#2495;
符号：ী 10进：2496 16进：09C0 html代码：&#2496;
符号：ু 10进：2497 16进：09C1 html代码：&#2497;
符号：ূ 10进：2498 16进：09C2 html代码：&#2498;
符号：ৃ 10进：2499 16进：09C3 html代码：&#2499;
符号：ৄ 10进：2500 16进：09C4 html代码：&#2500;
符号：৅ 10进：2501 16进：09C5 html代码：&#2501;
符号：৆ 10进：2502 16进：09C6 html代码：&#2502;
符号：ে 10进：2503 16进：09C7 html代码：&#2503;
符号：ৈ 10进：2504 16进：09C8 html代码：&#2504;
符号：৉ 10进：2505 16进：09C9 html代码：&#2505;
符号：৊ 10进：2506 16进：09CA html代码：&#2506;
符号：ো 10进：2507 16进：09CB html代码：&#2507;
符号：ৌ 10进：2508 16进：09CC html代码：&#2508;
符号：্ 10进：2509 16进：09CD html代码：&#2509;
符号：ৎ 10进：2510 16进：09CE html代码：&#2510;
符号：৏ 10进：2511 16进：09CF html代码：&#2511;
符号：৐ 10进：2512 16进：09D0 html代码：&#2512;
符号：৑ 10进：2513 16进：09D1 html代码：&#2513;
符号：৒ 10进：2514 16进：09D2 html代码：&#2514;
符号：৓ 10进：2515 16进：09D3 html代码：&#2515;
符号：৔ 10进：2516 16进：09D4 html代码：&#2516;
符号：৕ 10进：2517 16进：09D5 html代码：&#2517;
符号：৖ 10进：2518 16进：09D6 html代码：&#2518;
符号：ৗ 10进：2519 16进：09D7 html代码：&#2519;
符号：৘ 10进：2520 16进：09D8 html代码：&#2520;
符号：৙ 10进：2521 16进：09D9 html代码：&#2521;
符号：৚ 10进：2522 16进：09DA html代码：&#2522;
符号：৛ 10进：2523 16进：09DB html代码：&#2523;
符号：ড় 10进：2524 16进：09DC html代码：&#2524;
符号：ঢ় 10进：2525 16进：09DD html代码：&#2525;
符号：৞ 10进：2526 16进：09DE html代码：&#2526;
符号：য় 10进：2527 16进：09DF html代码：&#2527;
符号：ৠ 10进：2528 16进：09E0 html代码：&#2528;
符号：ৡ 10进：2529 16进：09E1 html代码：&#2529;
符号：ৢ 10进：2530 16进：09E2 html代码：&#2530;
符号：ৣ 10进：2531 16进：09E3 html代码：&#2531;
符号：৤ 10进：2532 16进：09E4 html代码：&#2532;
符号：৥ 10进：2533 16进：09E5 html代码：&#2533;
符号：০ 10进：2534 16进：09E6 html代码：&#2534;
符号：১ 10进：2535 16进：09E7 html代码：&#2535;
符号：২ 10进：2536 16进：09E8 html代码：&#2536;
符号：৩ 10进：2537 16进：09E9 html代码：&#2537;
符号：৪ 10进：2538 16进：09EA html代码：&#2538;
符号：৫ 10进：2539 16进：09EB html代码：&#2539;
符号：৬ 10进：2540 16进：09EC html代码：&#2540;
符号：৭ 10进：2541 16进：09ED html代码：&#2541;
符号：৮ 10进：2542 16进：09EE html代码：&#2542;
符号：৯ 10进：2543 16进：09EF html代码：&#2543;
符号：ৰ 10进：2544 16进：09F0 html代码：&#2544;
符号：ৱ 10进：2545 16进：09F1 html代码：&#2545;
符号：৲ 10进：2546 16进：09F2 html代码：&#2546;
符号：৳ 10进：2547 16进：09F3 html代码：&#2547;
符号：৴ 10进：2548 16进：09F4 html代码：&#2548;
符号：৵ 10进：2549 16进：09F5 html代码：&#2549;
符号：৶ 10进：2550 16进：09F6 html代码：&#2550;
符号：৷ 10进：2551 16进：09F7 html代码：&#2551;
符号：৸ 10进：2552 16进：09F8 html代码：&#2552;
符号：৹ 10进：2553 16进：09F9 html代码：&#2553;
符号：৺ 10进：2554 16进：09FA html代码：&#2554;
符号：৻ 10进：2555 16进：09FB html代码：&#2555;
符号：ৼ 10进：2556 16进：09FC html代码：&#2556;
符号：৽ 10进：2557 16进：09FD html代码：&#2557;
符号：৾ 10进：2558 16进：09FE html代码：&#2558;
符号：৿ 10进：2559 16进：09FF html代码：&#2559;
符号：਀ 10进：2560 16进：0A00 html代码：&#2560;
符号：ਁ 10进：2561 16进：0A01 html代码：&#2561;
